,close,open,low,high,volume
2013-09-28,126.47,125.35,124.01,126.97,11422.59859732
2013-09-29,127.0,126.47,125.93,127.58,5700.003291280002
2013-09-30,126.22,127.0,125.23,128.8,7210.29697671
2013-10-01,127.19,126.23,122.77,127.53,10704.64376957
2013-10-02,127.22,127.19,125.96,127.93,8366.376991890002
2013-10-03,110.2,127.22,85.0,127.44,70619.64491691999
2013-10-04,119.2,110.2,108.0,119.52,16821.319283490004
2013-10-05,121.66,119.2,117.0,122.98,10901.107342979996
2013-10-06,122.32,121.66,121.11,122.37,3035.06800511
2013-10-07,123.89,122.31,121.3,123.9,5800.3445814299985
2013-10-08,123.77,123.9,120.11,124.51,10436.834748760002
2013-10-09,124.77,123.78,122.17,125.28,14229.28000183
2013-10-10,125.98,124.77,122.3,127.99,19108.05596559
2013-10-11,126.42,126.0,124.9,126.95,10568.653643029997
2013-10-12,126.94,126.42,125.93,127.83,8846.33036224
2013-10-13,127.94,126.94,126.79,128.19,6480.52784614
2013-10-14,133.86,127.94,127.65,138.22,21334.25607787
2013-10-15,135.59,133.96,133.05,138.0,12418.82814104
2013-10-16,146.0,135.58,134.68,147.39,24703.209135440004
2013-10-17,141.08,146.0,135.0,146.95,25746.589051600004
2013-10-18,143.97,141.08,140.22,145.0,15545.47751939
2013-10-19,159.29,143.97,143.63,159.94,27054.0256001
2013-10-20,165.99,159.0,158.23,172.0,33282.47268527
2013-10-21,169.5,165.99,163.87,169.99,8869.82662636
2013-10-22,189.87,169.5,169.17,189.87,34997.43396205
2013-10-23,190.01,189.82,179.0,196.27,38883.92546408
2013-10-24,162.1,190.0,162.1,205.44,41262.95711801
2013-10-25,186.05,162.05,156.2,206.6,41459.25925740998
2013-10-26,184.0,186.0,167.67,190.0,29880.45169008
2013-10-27,182.01,184.02,178.62,186.0,7337.42365597
2013-10-28,194.11,182.01,181.75,195.5,11600.830374470002
2013-10-29,196.81,194.11,192.99,198.28,11900.958034870002
2013-10-30,200.57,196.81,195.9,205.0,22461.11374702
2013-10-31,199.89,200.58,195.0,206.0,19228.257115030006
2013-11-01,203.38,199.89,195.1,203.75,13070.506585160005
2013-11-02,204.5,203.38,201.14,204.98,6247.16684097
2013-11-03,204.87,204.5,202.68,205.15,5619.218547970001
2013-11-04,211.11,204.75,203.56,212.97,12260.27943118
2013-11-05,229.5,211.11,211.11,231.75,30156.57107473
2013-11-06,248.54,229.2,228.15,254.96,49686.58034672001
2013-11-07,283.56,248.54,247.66,283.56,37961.45992376
2013-11-08,309.02,284.0,264.67,309.02,47435.11045110002
2013-11-09,327.77,309.02,298.95,347.93,48580.84370443
2013-11-10,305.01,327.77,267.21,363.65,60328.72977693001
2013-11-11,326.0,303.01,265.01,330.0,40574.03131016
2013-11-12,347.71,326.0,322.29,349.9,25653.89152773
2013-11-13,366.9,347.71,343.33,368.3,25584.03162881001
2013-11-14,403.0,366.9,365.07,410.58,38508.94399312
2013-11-15,414.0,403.02,401.35,421.97,26570.19685955
2013-11-16,424.95,414.48,390.0,431.36,32510.66198286
2013-11-17,459.0,424.95,423.71,462.2,19766.66809771
2013-11-18,529.74,459.0,452.3,530.0,31868.36769916
2013-11-19,652.0,529.74,471.26,755.0,71588.06999657999
2013-11-20,497.0,652.0,378.0,674.99,63413.87897248
2013-11-21,626.76,497.0,440.0,626.76,44776.35329204
2013-11-22,700.0,626.75,620.0,730.0,31128.761206910003
2013-11-23,843.5,700.0,699.99,844.77,25210.86829732
