,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2016-12-12 03:17:00,768.98,768.98,768.98,768.98,0.0,0.0,768.98
2016-12-12 03:18:00,768.98,768.98,768.98,768.98,0.0,0.0,768.98
2016-12-12 03:19:00,768.97,769.0,768.11,768.11,8.03380589,6177.8267123999985,768.97883731
2016-12-12 03:20:00,769.0,769.0,769.0,769.0,2.06349161,1586.8250480999998,769.0
2016-12-12 03:21:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:22:00,769.0,769.0,769.0,769.0,2.10520701,1618.9041907,769.0
2016-12-12 03:23:00,769.0,769.0,769.0,769.0,2.3343285,1795.0986165,769.0
2016-12-12 03:24:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:25:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:26:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:27:00,769.0,769.0,769.0,769.0,0.13384726,102.92854294,769.0
2016-12-12 03:28:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:29:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:30:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 03:31:00,768.11,768.11,768.11,768.11,0.013,9.98543,768.11
2016-12-12 03:32:00,767.46,767.46,767.46,767.46,0.26652601,204.54805163,767.46
2016-12-12 03:33:00,767.46,767.46,767.46,767.46,0.0,0.0,767.46
2016-12-12 03:34:00,767.46,767.46,767.46,767.46,0.0,0.0,767.46
2016-12-12 03:35:00,767.46,767.46,767.46,767.46,0.0,0.0,767.46
2016-12-12 03:36:00,767.46,767.46,767.46,767.46,0.0,0.0,767.46
2016-12-12 03:37:00,767.46,767.46,767.46,767.46,0.0,0.0,767.46
2016-12-12 03:38:00,767.46,767.46,767.46,767.46,0.0,0.0,767.46
2016-12-12 03:39:00,768.09,768.74,768.05,768.74,0.35678799,274.16575943,768.42765765
2016-12-12 03:40:00,768.74,768.74,768.74,768.74,0.18687723,143.66000179,768.74
2016-12-12 03:41:00,768.74,768.74,768.74,768.74,0.0,0.0,768.74
2016-12-12 03:42:00,768.74,768.74,768.74,768.74,0.04460551,34.290039756999995,768.74
2016-12-12 03:43:00,768.74,768.74,768.74,768.74,0.0,0.0,768.74
2016-12-12 03:44:00,768.74,768.74,768.74,768.74,0.0,0.0,768.74
2016-12-12 03:45:00,768.74,768.74,768.74,768.74,0.00633619,4.8708827006,768.74
2016-12-12 03:46:00,768.74,768.74,768.74,768.74,0.0,0.0,768.74
2016-12-12 03:47:00,768.56,768.56,768.56,768.56,0.0423129,32.520002424,768.56
2016-12-12 03:48:00,768.56,768.56,768.56,768.56,0.0,0.0,768.56
2016-12-12 03:49:00,768.56,768.56,768.56,768.56,0.0719069,55.264767064,768.56
2016-12-12 03:50:00,768.56,768.56,768.56,768.56,0.0,0.0,768.56
2016-12-12 03:51:00,768.56,768.56,768.56,768.56,0.0,0.0,768.56
2016-12-12 03:52:00,768.56,768.56,768.56,768.56,0.0,0.0,768.56
2016-12-12 03:53:00,768.56,768.56,768.56,768.56,0.0,0.0,768.56
2016-12-12 03:54:00,768.56,768.56,768.56,768.56,0.05970758,45.888857685,768.56
2016-12-12 03:55:00,768.56,768.56,768.56,768.56,0.0,0.0,768.56
2016-12-12 03:56:00,769.0,769.34,769.0,769.34,2.0,1538.1849017000004,769.09245083
2016-12-12 03:57:00,769.34,769.34,769.34,769.34,0.0,0.0,769.09245083
2016-12-12 03:58:00,768.76,769.71,768.76,769.71,1.00170193,770.06999254,768.76161409
2016-12-12 03:59:00,769.71,769.71,769.71,769.71,0.0,0.0,768.76161409
2016-12-12 04:00:00,769.71,769.71,769.71,769.71,0.0,0.0,768.76161409
2016-12-12 04:01:00,768.13,769.32,768.13,769.32,0.08740919999999999,67.236828796,769.21913021
2016-12-12 04:02:00,769.32,769.32,769.32,769.32,0.0,0.0,769.21913021
2016-12-12 04:03:00,769.32,769.32,769.32,769.32,0.0,0.0,769.21913021
2016-12-12 04:04:00,769.32,769.32,769.32,769.32,0.0206286,15.869994552,769.32
2016-12-12 04:05:00,769.32,769.32,769.32,769.32,0.0,0.0,769.32
2016-12-12 04:06:00,769.32,769.32,769.32,769.32,0.0,0.0,769.32
2016-12-12 04:07:00,769.32,769.32,769.32,769.32,0.0,0.0,769.32
2016-12-12 04:08:00,769.32,769.32,769.32,769.32,0.0,0.0,769.32
2016-12-12 04:09:00,769.32,769.32,769.32,769.32,0.0,0.0,769.32
2016-12-12 04:10:00,769.32,769.32,769.32,769.32,0.0,0.0,769.32
2016-12-12 04:11:00,769.6,769.69,768.04,768.04,0.914068,702.25995644,768.27977397
2016-12-12 04:12:00,768.04,768.04,768.01,768.01,2.573,1976.0897387,768.01000339
2016-12-12 04:13:00,769.37,769.37,768.22,768.22,0.461,354.6565700000001,769.32010846
2016-12-12 04:14:00,768.22,768.22,768.22,768.22,0.503,386.41466,768.22
2016-12-12 04:15:00,768.22,768.22,768.22,768.22,0.413,317.27486,768.22
2016-12-12 04:16:00,769.41,769.41,768.22,768.22,0.50083042,384.80367345,768.3312716
2016-12-12 04:17:00,768.22,769.26,767.39,769.26,2.62275816,2014.1200604000005,767.93967935
2016-12-12 04:18:00,769.26,769.26,769.26,769.26,0.0,0.0,767.93967935
2016-12-12 04:19:00,769.35,769.35,769.26,769.26,0.18447773,141.92291779,769.3227674999998
2016-12-12 04:20:00,769.26,769.26,769.26,769.26,0.0,0.0,769.3227674999998
2016-12-12 04:21:00,767.74,767.74,767.74,767.74,0.00727698,5.5868286252,767.74
2016-12-12 04:22:00,767.74,769.23,767.72,769.23,1.35531994,1040.5791522,767.7738086
2016-12-12 04:23:00,769.23,769.23,769.23,769.23,0.0,0.0,767.7738086
